title,authors,abstract,pdf_url,source_url,id,year,conference
PAC-Bayesian Bounds on Rate-Efficient Classifiers,"Alhabib Abbas, Yiannis Andreopoulos",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/abbas22a/abbas22a.pdf,https://proceedings.mlr.press/v162/abbas22a.html,abbas22a,2022,ICML
Sharp-MAML: Sharpness-Aware Model-Agnostic Meta Learning,"Momin Abbas, Quan Xiao, Lisha Chen, Pin-Yu Chen, Tianyi Chen",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/abbas22b/abbas22b.pdf,https://proceedings.mlr.press/v162/abbas22b.html,abbas22b,2022,ICML
An Initial Alignment between Neural Network and Target is Needed for Gradient Descent to Learn,"Emmanuel Abbe, Elisabetta Cornacchia, Jan Hazla, Christopher Marquis",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/abbe22a/abbe22a.pdf,https://proceedings.mlr.press/v162/abbe22a.html,abbe22a,2022,ICML
Active Sampling for Min-Max Fairness,"Jacob D Abernethy, Pranjal Awasthi, Matthäus Kleindessner, Jamie Morgenstern, Chris Russell, Jie Zhang",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/abernethy22a/abernethy22a.pdf,https://proceedings.mlr.press/v162/abernethy22a.html,abernethy22a,2022,ICML
Meaningfully debugging model mistakes using conceptual counterfactual explanations,"Abubakar Abid, Mert Yuksekgonul, James Zou",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/abid22a/abid22a.pdf,https://proceedings.mlr.press/v162/abid22a.html,abid22a,2022,ICML
Batched Dueling Bandits,"Arpit Agarwal, Rohan Ghuge, Viswanath Nagarajan",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/agarwal22a/agarwal22a.pdf,https://proceedings.mlr.press/v162/agarwal22a.html,agarwal22a,2022,ICML
Hierarchical Shrinkage: Improving the accuracy and interpretability of tree-based models.,"Abhineet Agarwal, Yan Shuo Tan, Omer Ronen, Chandan Singh, Bin Yu",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/agarwal22b/agarwal22b.pdf,https://proceedings.mlr.press/v162/agarwal22b.html,agarwal22b,2022,ICML
Deep equilibrium networks are sensitive to initialization statistics,"Atish Agarwala, Samuel S Schoenholz",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/agarwala22a/agarwala22a.pdf,https://proceedings.mlr.press/v162/agarwala22a.html,agarwala22a,2022,ICML
Learning of Cluster-based Feature Importance for Electronic Health Record Time-series,"Henrique Aguiar, Mauro Santos, Peter Watkinson, Tingting Zhu",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/aguiar22a/aguiar22a.pdf,https://proceedings.mlr.press/v162/aguiar22a.html,aguiar22a,2022,ICML
On the Convergence of the Shapley Value in Parametric Bayesian Learning Games,"Lucas Agussurja, Xinyi Xu, Bryan Kian Hsiang Low",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/agussurja22a/agussurja22a.pdf,https://proceedings.mlr.press/v162/agussurja22a.html,agussurja22a,2022,ICML
Individual Preference Stability for Clustering,"Saba Ahmadi, Pranjal Awasthi, Samir Khuller, Matthäus Kleindessner, Jamie Morgenstern, Pattara Sukprasert, Ali Vakilian",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/ahmadi22a/ahmadi22a.pdf,https://proceedings.mlr.press/v162/ahmadi22a.html,ahmadi22a,2022,ICML
Understanding the unstable convergence of gradient descent,"Kwangjun Ahn, Jingzhao Zhang, Suvrit Sra",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/ahn22a/ahn22a.pdf,https://proceedings.mlr.press/v162/ahn22a.html,ahn22a,2022,ICML
Minimum Cost Intervention Design for Causal Effect Identification,"Sina Akbari, Jalal Etesami, Negar Kiyavash",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/akbari22a/akbari22a.pdf,https://proceedings.mlr.press/v162/akbari22a.html,akbari22a,2022,ICML
How Faithful is your Synthetic Data? Sample-level Metrics for Evaluating and Auditing Generative Models,"Ahmed Alaa, Boris Van Breugel, Evgeny S. Saveliev, Mihaela van der Schaar",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/alaa22a/alaa22a.pdf,https://proceedings.mlr.press/v162/alaa22a.html,alaa22a,2022,ICML
A Natural Actor-Critic Framework for Zero-Sum Markov Games,"Ahmet Alacaoglu, Luca Viano, Niao He, Volkan Cevher",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/alacaoglu22a/alacaoglu22a.pdf,https://proceedings.mlr.press/v162/alacaoglu22a.html,alacaoglu22a,2022,ICML
Deploying Convolutional Networks on Untrusted Platforms Using 2D Holographic Reduced Representations,"Mohammad Mahmudul Alam, Edward Raff, Tim Oates, James Holt",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/alam22a/alam22a.pdf,https://proceedings.mlr.press/v162/alam22a.html,alam22a,2022,ICML
Optimistic Linear Support and Successor Features as a Basis for Optimal Policy Transfer,"Lucas Nunes Alegre, Ana Bazzan, Bruno C. Da Silva",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/alegre22a/alegre22a.pdf,https://proceedings.mlr.press/v162/alegre22a.html,alegre22a,2022,ICML
Structured Stochastic Gradient MCMC,"Antonios Alexos, Alex J Boyd, Stephan Mandt",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/alexos22a/alexos22a.pdf,https://proceedings.mlr.press/v162/alexos22a.html,alexos22a,2022,ICML
XAI for Transformers: Better Explanations through Conservative Propagation,"Ameen Ali, Thomas Schnake, Oliver Eberle, Grégoire Montavon, Klaus-Robert Müller, Lior Wolf",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/ali22a/ali22a.pdf,https://proceedings.mlr.press/v162/ali22a.html,ali22a,2022,ICML
RUMs from Head-to-Head Contests,"Matteo Almanza, Flavio Chierichetti, Ravi Kumar, Alessandro Panconesi, Andrew Tomkins",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/almanza22a/almanza22a.pdf,https://proceedings.mlr.press/v162/almanza22a.html,almanza22a,2022,ICML
Neuro-Symbolic Language Modeling with Automaton-augmented Retrieval,"Uri Alon, Frank Xu, Junxian He, Sudipta Sengupta, Dan Roth, Graham Neubig",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/alon22a/alon22a.pdf,https://proceedings.mlr.press/v162/alon22a.html,alon22a,2022,ICML
Minimax Classification under Concept Drift with Multidimensional Adaptation and Performance Guarantees,"Verónica Álvarez, Santiago Mazuelas, Jose A Lozano",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/alvarez22a/alvarez22a.pdf,https://proceedings.mlr.press/v162/alvarez22a.html,alvarez22a,2022,ICML
Scalable First-Order Bayesian Optimization via Structured Automatic Differentiation,"Sebastian E Ament, Carla P Gomes",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/ament22a/ament22a.pdf,https://proceedings.mlr.press/v162/ament22a.html,ament22a,2022,ICML
Public Data-Assisted Mirror Descent for Private Model Training,"Ehsan Amid, Arun Ganesh, Rajiv Mathews, Swaroop Ramaswamy, Shuang Song, Thomas Steinke, Thomas Steinke, Vinith M Suriyakumar, Om Thakkar, Abhradeep Thakurta",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/amid22a/amid22a.pdf,https://proceedings.mlr.press/v162/amid22a.html,amid22a,2022,ICML
On Last-Iterate Convergence Beyond Zero-Sum Games,"Ioannis Anagnostides, Ioannis Panageas, Gabriele Farina, Tuomas Sandholm",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/anagnostides22a/anagnostides22a.pdf,https://proceedings.mlr.press/v162/anagnostides22a.html,anagnostides22a,2022,ICML
Online Algorithms with Multiple Predictions,"Keerti Anand, Rong Ge, Amit Kumar, Debmalya Panigrahi",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/anand22a/anand22a.pdf,https://proceedings.mlr.press/v162/anand22a.html,anand22a,2022,ICML
"Learning to Hash Robustly, Guaranteed","Alexandr Andoni, Daniel Beaglehole",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/andoni22a/andoni22a.pdf,https://proceedings.mlr.press/v162/andoni22a.html,andoni22a,2022,ICML
Set Based Stochastic Subsampling,"Bruno Andreis, Seanie Lee, A. Tuan Nguyen, Juho Lee, Eunho Yang, Sung Ju Hwang",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/andreis22a/andreis22a.pdf,https://proceedings.mlr.press/v162/andreis22a.html,andreis22a,2022,ICML
Towards Understanding Sharpness-Aware Minimization,"Maksym Andriushchenko, Nicolas Flammarion",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/andriushchenko22a/andriushchenko22a.pdf,https://proceedings.mlr.press/v162/andriushchenko22a.html,andriushchenko22a,2022,ICML
Fair and Fast k-Center Clustering for Data Summarization,"Haris Angelidakis, Adam Kurpisz, Leon Sering, Rico Zenklusen",N/A (摘要需访问详情页),https://proceedings.mlr.press/v162/angelidakis22a/angelidakis22a.pdf,https://proceedings.mlr.press/v162/angelidakis22a.html,angelidakis22a,2022,ICML
